url,beds,bath,rabbu Occupancy,rabbu ADR,manual Occupancy,manual ADR,Notes,Location,Stars,Review,Cleaning Fee,Host
https://www.airbnb.com/rooms/53811926,2,1,0.1,155,0.258064516129032,148,Ugly Old,Ronald,4.89,36,110,Superhost
https://www.airbnb.com/rooms/49487409,2,1,0.63,136,0.67741935483871,135,Looks Nice,Ronald,4.97,58,90,Superhost
https://www.airbnb.com/rooms/36114880,2,2,0.7,189,0.645161290322581,135,"Nice, Superhost",Ronald,4.87,70,195,Superhost
https://www.airbnb.com/rooms/46358968,2,2,0.4,267,0.516129032258065,267,Corporation,Ronald,5,11,165,Corporate
https://www.airbnb.com/rooms/39804129,2,3,0.67,333,0.741935483870968,333,Corporation,Ronald,4.83,29,190,Corporate
https://www.airbnb.com/rooms/23021070,2,3,0.6,287,0.483870967741936,287,Superhost,Ronald,4.85,13,190,Superhost
https://www.airbnb.com/rooms/46619467,2,2,0.03,246,0.225806451612903,229,"Superhost, good photos",Ronald,4.88,42,250,Superhost
https://www.airbnb.com/rooms/698544908100904679,2,2,0.17,205,0.387096774193548,205,new listing,Ronald,5,4,125,Regular
https://www.airbnb.com/rooms/557125827091662488,2,1,0.63,203,0.612903225806452,168,Expensive Furniture,Ronald,4.96,46,120,Superhost
https://www.airbnb.com/rooms/878864519405589544,2,2,0.67,145,0.806451612903226,168,New Listing,Ronald,5,4,165,Regular
https://www.airbnb.com/rooms/49016675,2,1,0.7,157,0.645161290322581,157,"Superhost, good furniture",Ronald,4.87,39,90,Superhost
https://www.airbnb.com/rooms/29740451,2,1,0.53,265,0.483870967741936,254,Nonsuperhost,Ronald,4.92,48,125,Regular
https://www.airbnb.com/rooms/23021100,2,1,0.5,251,0.645161290322581,251,"Superhost, condo community",Ronald,4.81,16,175,Superhost
https://www.airbnb.com/rooms/23352493,2,1,0.57,265,0.903225806451613,240,"Superhost, by the beach",Ronald,5,104,90,Superhost
https://www.airbnb.com/rooms/52735414,2,1,0.6,141,0.612903225806452,141,Superhost,Ronald,4.79,34,150,Superhost
https://www.airbnb.com/rooms/666970338596390385,2,1,0.47,288,0.47,256,"Superhost, Nice Photos",Ronald,5,24,150,Superhost
https://www.airbnb.com/rooms/50858816,2,1,0.3,446,0.2,375,"On Stilts, Experience",Ronald,4.96,116,180,Superhost
https://www.airbnb.com/rooms/689441742434586212,2,1,0.17,282,0.290322580645161,241,"Fancy, Pro Photos",Lake Cle Elum,5,27,120,Superhost
https://www.airbnb.com/rooms/772511804409507635?,2,2,0.43,584,0.67741935483871,560,Way too nice to count as a comp,Lake Cle Elum,5,23,250,Corporate
https://www.airbnb.com/rooms/46466747,2,1,0.43,411,0.354838709677419,360,Too nice to comp,Lake Cle Elum,4.95,111,210,Corporate
https://www.airbnb.com/rooms/47329399,2,2,0.47,205,0.612903225806452,173,Evolve Management yields bad reviews,Lake Cle Elum,4.51,75,186,Corporate
